id	type	DescriptionTitle	PriceLabel	ListingDate	ReListingDate	Address	Suburb	State	PostCode	Property.lat	Property.lon	PropertyType	Agency.Id	Agency.Type	Agency.Name	Agent.Name	Beds	Baths	Cars	EER	PlotSize	Features
177360687	SALES_RESIDENTIAL	Charming Residence in Prime Location	$365,000+	2019-10-31 22:29:58		30 Bym Porter Lane	Casey	ACT	2913	-35.1703073	149.0976062	UNIT	552729	Agent	Rod Meates Property	Rod Meates	2	1	1	3.5		['BODY_CORPORATE']
177504554	SALES_RESIDENTIAL	Conveniences of a prime lifestyle pocket in sought-after area!	$405,000	2019-11-01 08:30:26		37/60 John Gorton Drive	Coombs	ACT	2611	-35.3212875	149.0404081	APARTMENT	12	Agent	Peter Blackshaw Manuka	Christine Bassingthwaighte	2	2	2	6	8045.7	
177501070	SALES_RESIDENTIAL	Architecturally designed spread over 149sqm of internal living	$585,000+	2019-10-31 22:52:05		11/75 Bellhouse Crescent	Moncrieff	ACT	2914	-35.1611901	149.1157992	APARTMENT	186856	Agent	McGrath Estate Agents Dickson	Theo Koutsikamanis	4	2	2	6	0	
177502009	SALES_RESIDENTIAL	Private 3 Bedroom Ensuite Home	$640,000+	2019-11-01 01:42:35		133 Learmonth Drive	Kambah	ACT	2902	-35.393818	149.0481997	HOUSE	368677	Agent	Blewitt Properties	Brenden Blewitt	3	2	3	2	0	['CENTRAL_HEAT']
177500653	SALES_RESIDENTIAL	BEST OF BARTON	$649,000	2019-10-31 21:40:48		58/30 Blackall Street	Barton	ACT	2600	-35.3063533	149.1370079	APARTMENT	572389	Agent	Belle Property Kingston	Linda Lockwood	2	2	2	5.5	0	
176300395	SALES_RESIDENTIAL	Rare 5 Bedroom, North Facing, Separate Title Terrace Home. Freshly Painted Throughout and with Brand New Carpet	$798,000+	2019-01-24 11:49:01	2019-10-31 23:39:02	6 Erdos Street	Bruce	ACT	2617	-35.2401879	149.0997006	HOUSE	386	Agent	Premier Capital Properties	Rick Farzan	5	2	2	4.5	295	['DINING_ROOM', 'FAMILY_ROOM']
177502085	SALES_RESIDENTIAL	Downsize in Hughes with room for the dogs	Over $930,000	2019-11-01 05:44:52		3/38 Coxen Street	Hughes	ACT	2605	-35.3357955	149.0927184	TOWNHOUSE	186856	Agent	McGrath Estate Agents Dickson	Justin Ingram	3	2	2	6.5	0	
176474319	SALES_RESIDENTIAL	New Year, New Home	$1,049,000	2019-03-04 14:22:29	2019-11-01 04:24:12	1/38 Coxen Street	Hughes	ACT	2605	-35.3357955	149.0927184	TOWNHOUSE	186856	Agent	McGrath Estate Agents Dickson	Justin Ingram	4	4	2	6.5	0	
176632008	SALES_RESIDENTIAL	North Facing Designer Residence - Now Completed	$1,099,000	2019-04-11 01:42:53	2019-11-01 00:05:30	1 Florina Place	Hawker	ACT	2614	-35.243336	149.0304155	HOUSE	643351	Agent	Peter Blackshaw Belconnen	Michael Braddon	4	2	2	6	515	
177501317	SALES_RESIDENTIAL	Large, Luxurious Home in Lawson - Ready for its New Owner/s	$1,150,000+	2019-11-01 00:26:26		46 Wanderlight Avenue	Lawson	ACT	2617	-35.2307659	149.0919645	HOUSE	514317	Agent	Impact Properties	Shaun Iqbal	6	4	2	3	601	
177502375	SALES_RESIDENTIAL	Vacant brand new townhouse backing Mount Majura Nature Reserve	$1,185,000	2019-11-01 03:42:31		87B/87 Rivett Street	Hackett	ACT	2602	-35.2454456	149.1670869	TOWNHOUSE	5402	Agent	Independent Inner North & City	Sean Vanholland	4	2	1	6	0	
177476242	SALES_RESIDENTIAL	Superb Penthouse with Huge Entertaining Terrace	By Negotiation	2019-10-31 20:28:31		74/5 Kerridge Street	Kingston	ACT	2604	-35.3132929	149.1490738	APARTMENT	3498	Agent	Berkely Residential	Peter Salapatas	3	3	2	3		['BODY_CORPORATE', 'DINING_ROOM']
177503119	SALES_RESIDENTIAL	Huge 960m2 Block Close to Queanbeyan CBD	By Negotiation	2019-11-01 06:02:23		10 Hayes Street	Queanbeyan	NSW	2620	-35.3597065	149.2346316	HOUSE	535149	Agent	inStyle Estate Agents	George Nikolic	6	2	2	0	0	
177502881	SALES_RESIDENTIAL	Executive Penthouse with Exceptional Panoramic Views	By Negotiation	2019-11-01 06:10:28		32/81 Constitution Avenue	Campbell	ACT	2612	-35.2920305	149.1460652	APARTMENT	854944	Agent	Peter Blackshaw Woden, Weston Creek & Molonglo	Robert Peaker	3	2	3	7	0	
177511551	SALES_RESIDENTIAL	Ticks the Boxes	$270,000	2019-11-04 05:02:14		14/2 Buik Place	Belconnen	ACT	2617	-35.2487116	149.0738311	APARTMENT	33	Agent	Sadil Quinlan	Greg Sadil	2	1	1	4	0	
177501183	SALES_RESIDENTIAL	Bringing New Life to an Old Neighbourhood!	$845,000	2019-11-04 03:50:59		14 Hartley Street	Turner	ACT	2612	-35.2644593	149.1279683	TOWNHOUSE	3250	Agent	LJ Hooker Project Marketing	Andrew Ligdopoulos	3	2	2	7.5		
175093452	SALES_RESIDENTIAL	Brand new family home within a sought after address	Over $987,000	2018-03-20 13:00:00	2019-11-03 21:49:21	2 Hawkesbury Crescent	Farrer	ACT	2607	-35.376734	149.1097842	HOUSE	186856	Agent	McGrath Estate Agents Dickson	Theo Koutsikamanis	4	2	2	6	990	
176938304	SALES_RESIDENTIAL	Architectural Master Piece	$1,850,000	2019-06-27 06:01:30	2019-11-03 22:01:45	4 Lane-Poole Place	Yarralumla	ACT	2600	-35.3063843	149.0914247	HOUSE	73	Agent	Luton Properties Manuka	Marc Donohue	3	3	2	0.5	772	
177508989	SALES_RESIDENTIAL	A Complete Family Package	By Negotiation	2019-11-03 22:21:46		22 Currie Street	Queanbeyan	NSW	2620	-35.3756038	149.2281448	HOUSE	109	Agent	LJ Hooker Queanbeyan	Jason Maxwell	5	3	2		940	['OFF_STREET_PARKING']
177510551	SALES_RESIDENTIAL	The Ideal Family Location	By Negotiation	2019-11-04 03:02:01		35 Molonglo Street	Queanbeyan East	NSW	2620	-35.3530437	149.2398394	HOUSE	109	Agent	LJ Hooker Queanbeyan	Jason Maxwell	4	1	1		1033	['DINING_ROOM', 'FAMILY_ROOM']
177515395	SALES_RESIDENTIAL	Convenient apartment with scope to add value	Over $295,000	2019-11-04 13:00:00		12A/60 Wattle Street	Lyneham	ACT	2602	-35.25445	149.1269685	APARTMENT	883084	Agent	McGrath Woden	Cameron Whitnall	2	1	1	5.5	0	
177516116	SALES_RESIDENTIAL	Mortgagee in Possession	$370,000	2019-11-04 22:42:29		8/3 Peron Place	Banks	ACT	2906	-35.4760328	149.0941517	TOWNHOUSE	210176	Agent	LJ Hooker Weston Creek	Andy Greenberger	3	1	1	5.5	0	
177516514	SALES_RESIDENTIAL	Central, Elegant and Move-In Ready	$489,000	2019-11-05 02:21:32		5/115 Canberra Avenue	Griffith	ACT	2603	-35.322081	149.147232	APARTMENT	422	Agent	Luton Properties Tuggeranong	Michael Martin	2	2	2	6	0	
177516861	SALES_RESIDENTIAL	Spacious townhouses on a hill side location	$381,000	2019-11-05 23:31:34		9 / 6 Morath Street	Taylor	ACT	2913	-35.152632	149.1035795	TOWNHOUSE	514317	Agent	Impact Properties	Shaun Iqbal	2	2	2	7.3		
177516100	SALES_RESIDENTIAL	Spacious townhouses on a hill side location	$434,000	2019-11-05 21:27:22		6 / 6 Morath Street	Taylor	ACT	2913	-35.152632	149.1035795	TOWNHOUSE	514317	Agent	Impact Properties	Shaun Iqbal	3	2	2	6.6		
177520847	SALES_RESIDENTIAL	Modern Living ! Location ! Must see!	$539,000	2019-11-06 00:10:26		23D Narrambla Terrace	Lawson	ACT	2617	-35.2285906	149.086896	UNIT	93	Agent	LJ Hooker Belconnen	Christine Fowler	3	3	2	6	0	
177520819	SALES_RESIDENTIAL	It's all about Location	$595,000	2019-11-05 23:32:21		(no street name provided)	Kingston	ACT	2604	-35.3142877	149.1415171	APARTMENT	421	Agent	Luton Properties Dickson	Melissa Martin-Smith	3	2	2	1	0	
177520512	SALES_RESIDENTIAL	Simply stunning ground floor apartment in the heart of Canberra	$649,000	2019-11-06 00:02:31		5/16 Elouera Street	Braddon	ACT	2612	-35.2736075	149.1336516	UNIT	5392	Agent	Independent Woden	Mark Wolens	2	2	2	6	1533	['CENTRAL_HEAT']
177522125	SALES_RESIDENTIAL	Luxurious and low maintenance 5 bedroom home	$759,000 +	2019-11-06 02:42:10		24 Perch Street	Throsby	ACT	2914	-35.1908435	149.1632954	HOUSE	563089	Agent	Harcourts Belconnen	Mohammed Islam	5	3	2	6	250	
177524304	SALES_RESIDENTIAL	One of Canberra's best known addresses	$760,000	2019-11-06 06:02:22		(no street name provided)	Turner	ACT	2612	-35.2656865	149.1309048	APARTMENT	186856	Agent	McGrath Estate Agents Dickson	Christopher Dixon	2	2	2	6	0	
177520696	SALES_RESIDENTIAL	Large Home with Flexible Floor Plan	$825,000+	2019-11-05 22:32:28		193 Chuculba Crescent	Giralang	ACT	2617	-35.2177846	149.099086	HOUSE	368677	Agent	Blewitt Properties	Brenden Blewitt	5	3	3	1.5	0	['RUMPUS_ROOM']
177521047	SALES_RESIDENTIAL	Brand new, single level home with elevated views	$950,000	2019-11-06 00:42:33		31 Heseltine Street	Denman Prospect	ACT	2611	-35.3074475	149.0241933	HOUSE	5392	Agent	Independent Woden	Andrew Nelson	4	2	2	6	0	
177521233	SALES_RESIDENTIAL	Luxury Redefined In Denman Prospect	$1,149,000 +	2019-11-06 03:45:21		10 Dainere Street	Denman Prospect	ACT	2611	-35.30386347	149.02253973	HOUSE	563089	Agent	Harcourts Belconnen	Ajay Kumar	4	3	2	6	540	
177520627	SALES_RESIDENTIAL	Rare Rural Opportunity	$1,485,000	2019-11-05 22:22:23		1291 Old Cooma Road	Googong	NSW	2620	-35.4566172	149.2037347	RURAL	73	Agent	Luton Properties Manuka	Marc Donohue	4	2	0		202350	
177516632	SALES_RESIDENTIAL	PROPERTY WITHDRAWN FROM AUCTION	By Negotiation	2019-11-06 06:08:52		10 Swan Drive	Googong	NSW	2620	-35.4358752	149.2034178	RURAL	115	Agent	Elders Queanbeyan - Jerrabomberra - Googong	Peter Stumbles	5	5	8			['DINING_ROOM', 'FAMILY_ROOM', 'OFF_STREET_PARKING', 'RUMPUS_ROOM', 'STUDY']
177521691	SALES_RESIDENTIAL	Manhattan Apartment	$269,500-$279,500	2019-11-07 05:30:00		5/88-90 Henderson Road	Crestwood	NSW	2620	-35.3427361	149.2216223	APARTMENT	115	Agent	Elders Queanbeyan - Jerrabomberra - Googong	Jon Stumbles	1	1	1			['BODY_CORPORATE', 'OFF_STREET_PARKING']
177529727	SALES_RESIDENTIAL	Modern & Secure Townhouse in Peaceful Location	$315,000+	2019-11-07 03:31:43		4/17 Higgins Place	Higgins	ACT	2615	-35.2314748	149.027022	TOWNHOUSE	252785	Agent	Luton Properties Gungahlin	Nick Paine	1	1	1	6	0	
175777858	SALES_RESIDENTIAL	Premium lifestyle location!	$339,000	2018-09-12 00:22:09	2019-11-06 21:42:22	34/10 Burke Crescent	Kingston	ACT	2604	-35.320259	149.1464042	APARTMENT	682863	Agent	Hayman Partners	Rick and Tina Meir	1	1	1	6	0	
177476627	SALES_RESIDENTIAL	When low maintenance living is essential	$380,000+	2019-11-07 00:36:16		38/40 Leahy Close	Narrabundah	ACT	2604	-35.3442724	149.142436	UNIT	377855	Agent	One Agency Sandy Morris	Sandy Morris	2	1	2	2	4784	['BODY_CORPORATE', 'OFF_STREET_PARKING']
176825407	SALES_RESIDENTIAL	Set high on the hill.	$400,000-$420,000	2019-11-07 06:32:44		18/3 Peron Place	Banks	ACT	2906	-35.4762055	149.093807	TOWNHOUSE	706323	Agent	Elders Canberra	Gerard Abbey	3	1	2	3	193	['BODY_CORPORATE', 'DISABILITY_FRIENDLY', 'FAMILY_ROOM']
177527858	SALES_RESIDENTIAL	Views as far as the eye can see……a great lifestyle choice!	$439,000	2019-11-07 00:43:11		704/17 Dooring Street	Braddon	ACT	2612	-35.2611393	149.1339245	APARTMENT	577049	Agent	home.byholly	Jenny Michael And Mark McReynolds	2	2	2	6	0	
177512017	SALES_RESIDENTIAL	Start your next chapter	$479,900+	2019-11-06 23:02:10		Debut - Start your next chapter	Wright	ACT	2611	-35.3123555019329	149.031095091198	OTHER	615239	Agent	3 Property Group	Paul Hamilton	2	1	1			
177528299	SALES_RESIDENTIAL	Stylish start at Salt	$485,000+	2019-11-07 01:31:38		81/29 Dawes Street	Kingston	ACT	2604	-35.3171339	149.143556	HOUSE	572389	Agent	Belle Property Kingston	Alexander Smout	2	1	1	6	0	
177419546	SALES_RESIDENTIAL	"Lot 1 ""Sunset"""	$499,000	2019-11-06 23:50:16		"Sunset Googong - Lot 1 ""Sunset"""	Googong	NSW	2620	-35.4134504134291	149.236127128159	LAND	613419	Agent	Elders Queanbeyan - Jerrabomberra - Googong - Projects	Jon Stumbles		0	0			
177520874	SALES_RESIDENTIAL	Best Valued Townhouse on the Lightrail Corridor!	$499,000+	2019-11-07 01:48:48		4/293 Flemington Road	Franklin	ACT	2913	-35.1912463	149.1509769	TOWNHOUSE	1859	Agent	Fisk & Nagle Property	Kevin Ye	3	2	2	6	4886	
177512166	SALES_RESIDENTIAL	Start your next chapter	$499,900+	2019-11-06 23:03:31		Debut - Start your next chapter	Wright	ACT	2611	-35.3123555019329	149.031095091198	OTHER	615239	Agent	3 Property Group	Paul Hamilton	3	2	1			
177511989	SALES_RESIDENTIAL	Start your next chapter	$499,900+	2019-11-06 23:02:47		Debut - Start your next chapter	Wright	ACT	2611	-35.3123555019329	149.031095091198	OTHER	615239	Agent	3 Property Group	Paul Hamilton	2	2	2			
177413937	SALES_RESIDENTIAL	"Lot 3 ""Sunset"""	$515,000	2019-11-06 23:50:25		"Sunset Googong - Lot 3 ""Sunset"""	Googong	NSW	2620	-35.4134504134291	149.236127128159	LAND	613419	Agent	Elders Queanbeyan - Jerrabomberra - Googong - Projects	Jon Stumbles		0	0			
177527330	SALES_RESIDENTIAL	Ideal haven for young home seekers in vibrant Casey	$518,800-$538,800	2019-11-06 22:32:24		39 Dalkin Crescent	Casey	ACT	2913	-35.1741525	149.0944872	HOUSE	84655	Agent	McGrath Estate Agents Gungahlin	Adam Jones	3	3	1	5.5	212	
177410649	SALES_RESIDENTIAL	"Lot 5 ""Sunset"""	$520,000	2019-11-06 23:50:33		"Sunset Googong - Lot 5 ""Sunset"""	Googong	NSW	2620	-35.4134504134291	149.236127128159	LAND	613419	Agent	Elders Queanbeyan - Jerrabomberra - Googong - Projects	Jon Stumbles		0	0			
177528757	SALES_RESIDENTIAL	TOP LEVEL, TOP VIEWS , TOP APARTMENT	$529,000	2019-11-07 02:01:48		89/40 Philip Hodgins Street	Wright	ACT	2611	-35.3175469	149.0342703	APARTMENT	539	Agent	LJ Hooker Gungahlin	Carly Clough	3	3	2	5	0	
177511978	SALES_RESIDENTIAL	Start your next chapter	$529,900+	2019-11-06 23:02:38		Debut - Start your next chapter	Wright	ACT	2611	-35.3123555019329	149.031095091198	OTHER	615239	Agent	3 Property Group	Paul Hamilton	3	2	2			
177413938	SALES_RESIDENTIAL	"Lot 18 ""Sunset"""	$535,000	2019-11-06 23:50:48		"Sunset Googong - Lot 18 ""Sunset"""	Googong	NSW	2620	-35.4134504134291	149.236127128159	LAND	613419	Agent	Elders Queanbeyan - Jerrabomberra - Googong - Projects	Jon Stumbles		0	0			
177511977	SALES_RESIDENTIAL	Start your next chapter	$539,900+	2019-11-06 23:03:41		Debut - Start your next chapter	Wright	ACT	2611	-35.3123555019329	149.031095091198	OTHER	615239	Agent	3 Property Group	Paul Hamilton	3	2	2			
177296022	SALES_RESIDENTIAL	ONE Left, Single garage with additional dedicated parking space - Type 1B	$539,950	2019-11-07 00:23:14		Wish Residences - Unit 8 - 2 Bedroom Unit with Additional Garage - The Last Remaining Unit	Bruce	ACT	2617	-35.2412546463575	149.093165583557	TOWNHOUSE	565869	Agent	TP Dynamics Pty Ltd	Will Ding	2	2	2	7		
177410819	SALES_RESIDENTIAL	"Lot 21 ""Sunset"""	$549,000	2019-11-06 23:50:57		"Sunset Googong - Lot 21 ""Sunset"""	Googong	NSW	2620	-35.4134504134291	149.236127128159	LAND	613419	Agent	Elders Queanbeyan - Jerrabomberra - Googong - Projects	Jon Stumbles		0	0			
177419547	SALES_RESIDENTIAL	"Lot 9 ""Sunset"""	$549,000	2019-11-06 23:50:39		"Sunset Googong - Lot 9 ""Sunset"""	Googong	NSW	2620	-35.4134504134291	149.236127128159	LAND	613419	Agent	Elders Queanbeyan - Jerrabomberra - Googong - Projects	Jon Stumbles		0	0			
177527528	SALES_RESIDENTIAL	Lots of Potential - Pretty One Bedroom One Bathroom Unit for a First Home Buyer and Downsizer or Development Opportunity	$550,000 Both Units	2019-11-07 00:01:41		2/12 Wirraway Crescent	Scullin	ACT	2614	-35.2314232	149.0361259	DUPLEX	80917	Agent	Ray White Canberra 	Stephanie Hendry	1	1	1	0	0	
177527618	SALES_RESIDENTIAL	Lots of Potential - Large Two Bedroom One Bathroom Unit for Savvy Buyer or Bigger Picture Development Opportunity	$550,000 Both Units	2019-11-07 00:00:45		1/12 Wirraway Crescent	Scullin	ACT	2614	-35.2314773	149.035995	DUPLEX	80917	Agent	Ray White Canberra 	Stephanie Hendry	2	1	1	2.5	0	
177509859	SALES_RESIDENTIAL	Start your next chapter	$559,900+	2019-11-06 23:04:34		Debut - Start your next chapter	Wright	ACT	2611	-35.3123555019329	149.031095091198	OTHER	615239	Agent	3 Property Group	Paul Hamilton	3	2	2			
177520872	SALES_RESIDENTIAL	Home Sweet Home near shops, schools & transport	$589,000+	2019-11-07 02:18:22		8 Corey Place	Gowrie	ACT	2904	-35.4157525	149.1027183	HOUSE	514317	Agent	Impact Properties	Shaun Iqbal	3	2	2	1	886	
177521687	SALES_RESIDENTIAL	Top floor 2-bed 2-bath - great balcony!	$619,900	2019-11-06 18:47:22		32 Mort Street	Braddon	ACT	2612	-35.2740906	149.1317585	APARTMENT	3250	Agent	LJ Hooker Project Marketing	Keenan Veraar	2	2	1	7	1533	
177531199	SALES_RESIDENTIAL	High level skyhome in the heart of the City with views to Black Mountain	$625,000	2019-11-07 05:51:36		1503/240 Bunda Street	City	ACT	2601	-35.2816321	149.134405	UNIT	5402	Agent	Independent Inner North & City	Grahame O'Brien	2	2	2	6	4180.5	
177530216	SALES_RESIDENTIAL	Outdoor entertaining at its best	$669,000	2019-11-07 04:02:11		14 Postle Circuit	Holt	ACT	2615	-35.2212344	149.0231791	HOUSE	115835	Agent	Luton Properties Kippax	Ben Oostermeyer	4	1	2	1	765	
177509448	SALES_RESIDENTIAL	Start your next chapter	$669,900	2019-11-06 23:02:02		Debut - Start your next chapter	Wright	ACT	2611	-35.3123555019329	149.031095091198	OTHER	615239	Agent	3 Property Group	Paul Hamilton	4	2	2			
177526587	SALES_RESIDENTIAL	Street appeal and nothing to do but enjoy.	$690,000+	2019-11-06 13:14:39		6 Tyner Street	Calwell	ACT	2905	-35.4461886	149.1075616	HOUSE	1517	Agent	Peter Blackshaw Tuggeranong	Rick Dickson	4	2	2	4	824	
177528768	SALES_RESIDENTIAL	Large family entertainer in tightly held location, with optional 5th bedroom	Offers over $690,000	2019-11-07 02:04:14		14 Cutlack Street	Evatt	ACT	2617	-35.2089096	149.078572	HOUSE	5405	Agent	Independent Tuggeranong	Nathan Page	4	3	2	1	829.08	
177511988	SALES_RESIDENTIAL	Start your next chapter	$699,900+	2019-11-06 23:03:56		Debut - Start your next chapter	Wright	ACT	2611	-35.3123555019329	149.031095091198	OTHER	615239	Agent	3 Property Group	Paul Hamilton	4	2	2			
177296035	SALES_RESIDENTIAL	3 Beds double garage only 1 LEFT! - Type 3B	$705,000	2019-11-07 00:24:11		Wish Residences - Type 3B - Units with Great Sunlight - Only 2 Left	Bruce	ACT	2617	-35.2412546463575	149.093165583557	TOWNHOUSE	565869	Agent	TP Dynamics Pty Ltd	Will Ding	3	2	2	7		
177525923	SALES_RESIDENTIAL	Charming family home	$715,000	2019-11-06 23:32:21		8 Daisy Loop	Googong	NSW	2620	-35.4184419	149.2383906	HOUSE	846943	Agent	Belle Property Queanbeyan	Aaron Papahatzis	4	2	2		422	
177528189	SALES_RESIDENTIAL	Super large home on a quiet street	$720,000	2019-11-07 01:12:00		78 Hanrahan Crescent	Dunlop	ACT	2615	-35.1855946	149.0303613	HOUSE	115835	Agent	Luton Properties Kippax	Ben Oostermeyer	5	2	2	4	570	
